nse_fo_mktlots
Derivatives on Individual Securities,Symbol,OCT-17,NOV-17,DEC-17
MRF LTD,MRF,15,15,15
BOSCH LIMITED,BOSCHLTD,25,25,25
EICHER MOTORS LTD,EICHERMOT,25,25,25
PAGE INDUSTRIES LTD,PAGEIND,50,50,50
SHREE CEMENTS LTD,SHREECEM,50,50,50
NESTLE INDIA LIMITED,NESTLEIND,100,100,100
BAJAJ FINSERV LTD.,BAJAJFINSV,125,125,125
MARUTI SUZUKI INDIA LTD.,MARUTI,150,150,150
ORACLE FIN SERV SOFT LTD.,OFSS,150,150,150
DR. REDDY'S LABORATORIES,DRREDDY,200,200,200
HERO MOTOCORP LIMITED,HEROMOTOCO,200,200,200
BRITANNIA INDUSTRIES LTD,BRITANNIA,200,200,200
ULTRATECH CEMENT LIMITED,ULTRACEMCO,200,200,200
BAJAJ AUTO LIMITED,BAJAJ-AUTO,250,250,250
TATA CONSULTANCY SERV LT,TCS,250,250,250
UNITED SPIRITS LIMITED,MCDOWELL-N,250,250,250
PIRAMAL ENTERPRISES LTD,PEL,300,300,300
DALMIA BHARAT LIMITED,DALMIABHA,300,300,300
ACC LIMITED,ACC,400,400,400
BALKRISHNA IND. LTD,BALKRISIND,400,400,400
LUPIN LIMITED,LUPIN,400,400,400
TORRENT PHARMACEUTICALS L,TORNTPHARM,400,400,400
PVR LIMITED,PVR,400,400,400
AJANTA PHARMA LIMITED,AJANTPHARM,400,400,400
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,500,500,500
BAJAJ FINANCE LIMITED,BAJFINANCE,500,500,500
GODFREY PHILLIPS INDIA LT,GODFRYPHLP,500,500,500
HDFC LTD,HDFC,500,500,500
HDFC BANK LTD,HDFCBANK,500,500,500
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,500,500,500
MULTI COMMODITY EXCHANGE,MCX,500,500,500
MAHINDRA & MAHINDRA LTD,M&M,500,500,500
INFOSYS LIMITED,INFY,500,500,500
JUBILANT FOODWORKS LTD,JUBLFOOD,500,500,500
SIEMENS LTD,SIEMENS,500,500,500
SRF LTD,SRF,500,500,500
STRIDES SHASUN LIMITED,STAR,500,500,500
CENTURY TEXTILES LTD,CENTURYTEX,550,550,550
INDRAPRASTHA GAS LTD,IGL,550,550,550
AMARA RAJA BATTERIES LTD.,AMARAJABAT,600,600,600
ASIAN PAINTS LIMITED,ASIANPAINT,600,600,600
BEML LIMITED,BEML,600,600,600
CUMMINS INDIA LTD,CUMMINSIND,600,600,600
INDUSIND BANK LIMITED,INDUSINDBK,600,600,600
MAHANAGAR GAS LTD.,MGL,600,600,600
HINDUSTAN UNILEVER LTD.,HINDUNILVR,600,600,600
INTERGLOBE AVIATION LTD,INDIGO,600,600,600
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,600,600,600
CONTAINER CORP OF IND LTD,CONCOR,625,625,625
CEAT LIMITED,CEATLTD,700,700,700
GLENMARK PHARMACEUTICALS,GLENMARK,700,700,700
COLGATE PALMOLIVE LTD.,COLPAL,700,700,700
UNITED BREWERIES LTD,UBL,700,700,700
REPCO HOME FINANCE LTD,REPCOHOME,700,700,700
TATA COMMUNICATIONS LTD,TATACOMM,700,700,700
HCL TECHNOLOGIES LTD,HCLTECH,700,700,700
GRASIM INDUSTRIES LTD,GRASIM,750,750,750
LARSEN & TOUBRO LTD.,LT,750,750,750
AUROBINDO PHARMA LTD,AUROPHARMA,800,800,800
CAPITAL FIRST LIMITED,CAPF,800,800,800
DIVI'S LABORATORIES LTD,DIVISLAB,800,800,800
KOTAK MAHINDRA BANK LTD,KOTAKBANK,800,800,800
GODREJ CONSUMER PRODUCTS,GODREJCP,800,800,800
INDIABULLS HSG FIN LTD,IBULHSGFIN,800,800,800
RAYMOND LTD,RAYMOND,800,800,800
THE RAMCO CEMENTS LIMITED,RAMCOCEM,800,800,800
SUN PHARMACEUTICAL IND L,SUNPHARMA,800,800,800
WOCKHARDT LIMITED,WOCKPHARMA,800,800,800
KAJARIA CERAMICS LTD,KAJARIACER,800,800,800
TATA ELXSI LIMITED,TATAELXSI,800,800,800
